开发者,仓库地址,教务系统类型,学校
Wither,https://github.com/wintbiit/open-schedule-ai-scut,自研,华南理工大学
Grey阿灰,https://github.com/greyovo/AIScheduleSCAU,强智,华南农业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/宁夏师范学院,新正方,宁夏师范学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/山东师范大学,新正方,山东师范大学
wen,https://gitee.com/wen131/hhtc-xiaomi-ai,强智,怀化学院
张小湉,https://github.com/Z-xiao-tian/AiSceduleShu,自研,吉利学院
铃音yuy,https://github.com/imshixin/AiSchedule,自研,吉林大学
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,吉林农业大学
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,吉林农业大学
老猫Tomcat,https://gitee.com/xmprocat/CY_AISchedule/tree/master/new,树维,集美大学
老猫Tomcat,https://gitee.com/xmprocat/CY_AISchedule,自研,集美大学诚毅学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/深圳信息职业技术学院,新正方,深圳信息职业技术学院
asdi998,https://github.com/asdi998/AISchedule_JNU,自研,暨南大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/江汉大学,青果,江汉大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/江苏财经职业技术学院,强智,江苏财经职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/江苏财经职业技术学院,强智,江苏财经职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/四川工商学院,新正方,四川工商学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/四川轻化工大学,新正方,四川轻化工大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/太原科技大学,新正方,太原科技大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/江苏师范大学,强智,江苏师范大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/江苏师范大学,强智,江苏师范大学
MarioZZJ,https://github.com/MarioZZJ/Mi-AI-Schedule_Plugin/tree/master/JXNU,自研,江西师范大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/联亦科技/江西水利职业学院,联奕,江西水利职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/crp/荆州理工职业学院,CRP,荆州理工职业学院
novoice,https://github.com/novice2194/JGSUXiaoAiSchedule,自研,井冈山大学
AgOH,https://github.com/StableAgOH/JGSUXiaoaiSchedule,自研,井冈山大学
铃音yuy,https://github.com/imshixin/AiSchedule,强智,九州职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/武汉大学,新正方,武汉大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/盐城师范学院,新正方,盐城师范学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/昆明医科大学,青果,昆明医科大学
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,黎明职业大学
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,黎明职业大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/正方教务/新正方教务/湛江科技学院,新正方,湛江科技学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/大连海洋大学,正方,大连海洋大学
Archai,https://github.com/Fintinger/LNU-,自研,辽宁大学
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,辽宁科技大学
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,辽宁科技大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/辽宁科技学院,树维,辽宁科技学院
ziyii,https://github.com/ziyii01/xnai-keigbn-lnnkuifjdaxthdhxxtyr,自研,辽宁师范大学海华学院
ziyii,https://github.com/ziyii01/xnai-keigbn-lnnkuifjdaxthdhxxtyr,自研,辽宁师范大学海华学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/辽宁装备制造职业技术学院,树维,辽宁装备制造职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/陇东学院_新版,青果,陇东学院_新版
吉吉,https://github.com/mmdjiji/xiaomi-aischedule-ldu,URP,鲁东大学
吉吉,https://gitee.com/mmdjiji/xiaomi-aischedule-ldu,URP,鲁东大学
icepie,https://github.com/icepie/aischedule-lit-kingosoft,青果,洛阳理工学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/绵阳师范学院,强智,绵阳师范学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/绵阳师范学院,强智,绵阳师范学院
BinMusic,https://github.com/BinMusic/-,-,绵阳职业技术学院
写bug的小王,https://github.com/trueWangSyutung/XiaoAiScheduleOfMVTC,,绵阳职业技术学院
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,闽江师范高等专科学校
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,闽江师范高等专科学校
iloveflag,https://github.com/iloveflag/AIScheduleForNit,,南昌工程学院
白衣卿相,https://github.com/SUSTech-CRA/XiaoAi-SUSTech-Education-System,自研,南方科技大学
山南有樛木,https://github.com/codelumos/xiaomi-aischedule-adapter/tree/main/南京大学-网上办事服务大厅-我的课表,金智,南京大学_网上办事服务大厅
山南有樛木,https://github.com/codelumos/xiaomi-aischedule-adapter/tree/main/南京大学-研究生选课,金智,南京大学_研究生选课
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/大连海洋大学,正方,大连海洋大学
Trust、,https://github.com/Yorick-Ryu/NIIT_getCourse,金智,南京工业职业技术大学
Trust、,https://gitee.com/yorick-ryu/NIIT_getCourse,金智,南京工业职业技术大学
Riemann,https://gitee.com/ye-qiuming/alshedule,金智,南京师范大学
特菈 Dustella,https://github.com/Dustella/NUIST_Curriculum_Parser/tree/master/localTools/code,自研,南京信息工程大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/南京中医药大学,自研,南京中医药大学
PixelPilot666,https://github.com/PixelPilot666/xiao-ai-class-schedule,,南开大学_研究生
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/南宁师范大学,强智iframe,南宁师范大学
NYIST-CIPS,https://github.com/NYIST-CIPS/CourseTable/tree/main/AISchedule,青果,南阳理工学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/内蒙古财经大学,树维,内蒙古财经大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/URP教务/内蒙古科技大学,URP,内蒙古科技大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/德州职业技术学院,正方,德州职业技术学院
铃音yuy,https://github.com/imshixin/AiSchedule,强智,平顶山工业职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/萍乡学院,强智,萍乡学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/萍乡学院,强智,萍乡学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/德州职业技术学院,正方,德州职业技术学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/桂林旅游学院,正方,桂林旅游学院
啊,https://github.com/No-World/MI-AICourseTable/tree/main/齐齐哈尔大学-URP教务系统,URP,齐齐哈尔大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/齐齐哈尔医学院,自研,齐齐哈尔医学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/青岛大学,自研,青岛大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/桂林旅游学院,正方,桂林旅游学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/河北传媒学院,正方,河北传媒学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/河北传媒学院,正方,河北传媒学院
Moeshin,https://github.com/moeshin/ai-schedule-chaoxing,超星,青岛农业大学海都学院
Moeshin,https://gitee.com/moeshin/ai-schedule-chaoxing,超星,青岛农业大学海都学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/泉州师范学院,自研,泉州师范学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/河北交通职业技术学院,正方,河北交通职业技术学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/河北交通职业技术学院,正方,河北交通职业技术学院
啊也,https://github.com/anagasyat/AISchedule,金智,三峡大学
啊也,https://gitee.com/devnasita/AISchedule,金智,三峡大学
hanggoo,https://github.com/hanggoo/xiaoaiSchedule,金智,三峡大学
hanggoo,https://gitee.com/hanggoo/xiaoaischedule,金智,三峡大学
铃音yuy,https://github.com/imshixin/AiSchedule,强智,厦门海洋职业技术学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/强智教务/iframe强智/山东大学,强智iframe,山东大学
郁蒸十四,https://github.com/yuzheng14/AISchedule-SDU-WH,强智,山东大学（威海）
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/山东第一医科大学,自研,山东第一医科大学
MyLikeGirl,https://github.com/MyLikeGirl/AISchedule-QiangZhi,强智,山东科技大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/青果教务/山东女子学院,青果,山东女子学院
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/湖北中医药大学,正方,湖北中医药大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/山东水利职业学院,树维,山东水利职业学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/山东药品职业学院,自研,山东药品职业学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/湖北中医药大学,正方,湖北中医药大学
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/自研教务/山西工程科技职业大学,自研,山西工程科技职业大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/江苏大学,正方,江苏大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/江苏大学,正方,江苏大学
墨忆江南,https://github.com/Dongyifengs/AIShedule-Shaanxi-Xueqian-Normal-University,树维,陕西学前师范学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/商丘工学院,树维,商丘工学院
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/商丘师范学院,树维,商丘师范学院
铃音yuy,https://github.com/imshixin/AiSchedule,谷贤,上海城建职业学院
ZKL,https://github.com/ZKLlab/ai-schedule-shu,自研,上海大学
soundofautumn,https://github.com/soundofautumn/SHU-AI-Shedule,自研,上海大学_新选课系统
闻柒,https://github.com/WenqiOfficial/SHOU-URP-AiSchedule,URP,上海海洋大学
greenhandatsjtu,https://github.com/greenhandatsjtu/AISchedule-SJTU,,上海交通大学_新版&研究生
萧萧,https://gitee.com/alovelygirl/aishedule/tree/master/树维/上海杉达,树维,上海杉达学院
BobLiu,https://github.com/BobLiu0518/XiaoaiSchedule-SHNU,自研,上海师范大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/正方教务/凯里学院,正方,凯里学院
XTAI9,https://github.com/XTAI9/SYU_KINGGOClassSel,青果,邵阳学院
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/正方教务/凯里学院,正方,凯里学院
写bug的小王,https://github.com/trueWangSyutung/XiaoAiScheduleOfSUOT,强智,沈阳工业大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/沈阳工业大学,强智,沈阳工业大学
小陆同学,https://gitee.com/lu52/AIShedule/tree/main/强智教务/普版/沈阳工业大学,强智,沈阳工业大学
霜序廿,https://github.com/shuangxunian/MIAIClassCode/tree/master/SAU,自研,沈阳航空航天大学
霜序廿,https://github.com/shuangxunian/MIAIClassCode/tree/master/SYNU,自研,沈阳师范大学
小陆同学,https://github.com/xiaolu12-up/AIShedule/tree/main/强智教务/普版/石河子大学,强智,石河子大学
